STORE_ID,STORE_COUNTRY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR7220,USD,New York,Electronics,12254943,31.00,USD 20.77,USD 1.86,USD 29.14,2020-05-28
YR7220,USD,New York,Furniture,72619323,15.00,USD 9.75,USD 1.50,USD 13.50,2020-05-28
YR7220,USD,New York,Electronics,34161682,88.00,USD 62.48,USD 4.40,USD 83.60,2020-05-28
YR7220,USD,New York,Kitchen,79411621,91.00,USD 58.24,USD 3.64,USD 87.36,2020-05-28
YR7220,USD,New York,Fashion,39520263,85.00,USD 51.00,USD 2.55,USD 82.45,2020-05-28
YR7220,USD,New York,Kitchen,93809204,37.00,USD 24.05,USD 0.74,USD 36.26,2020-05-28
YR7220,USD,New York,Cosmetics,86610412,80.00,USD 48.80,USD 6.40,USD 73.60,2020-05-28
YR7220,USD,New York,Kitchen,52503356,71.00,USD 42.60,USD 5.68,USD 65.32,2020-05-28
YR7220,USD,New York,Kitchen,77516479,92.00,USD 56.12,USD 3.68,USD 88.32,2020-05-28
YR7220,USD,New York,Cosmetics,47334289,16.00,USD 10.72,USD 0.96,USD 15.04,2020-05-28
YR7220,USD,New York,Cosmetics,87566223,38.00,USD 23.18,USD 2.66,USD 35.34,2020-05-28
YR7220,USD,New York,Electronics,54074401,26.00,USD 17.68,USD 0.52,USD 25.48,2020-05-28
YR7220,USD,New York,Fashion,24246520,45.00,USD 30.15,USD 1.35,USD 43.65,2020-05-28
YR7220,USD,New York,Cosmetics,61138610,83.00,USD 57.27,USD 1.66,USD 81.34,2020-05-28
YR7220,USD,New York,Kitchen,69018554,55.00,USD 37.40,USD 1.65,USD 53.35,2020-05-28
YR7220,USD,New York,Groceries,11950073,13.00,USD 7.93,USD 0.39,USD 12.61,2020-05-28
YR7220,USD,New York,Fashion,86404418,69.00,USD 48.30,USD 4.83,USD 64.17,2020-05-28
YR7220,USD,New York,Fashion,91763000,18.00,USD 11.70,USD 0.36,USD 17.64,2020-05-28
YR7220,USD,New York,Groceries,53648681,52.00,USD 36.92,USD 1.04,USD 50.96,2020-05-28
YR7220,USD,New York,Groceries,15652465,29.00,USD 18.85,USD 2.03,USD 26.97,2020-05-28
YR7220,USD,New York,Electronics,40901794,43.00,USD 31.39,USD 3.87,USD 39.13,2020-05-28
YR7220,USD,New York,Electronics,37012634,71.00,USD 46.15,USD 4.97,USD 66.03,2020-05-28
YR7220,USD,New York,Groceries,43219909,69.00,USD 51.75,USD 2.07,USD 66.93,2020-05-28
YR7220,USD,New York,Furniture,14965820,13.00,USD 8.71,USD 1.17,USD 11.83,2020-05-28
YR7220,USD,New York,Groceries,86044616,35.00,USD 22.75,USD 1.05,USD 33.95,2020-05-28
YR7220,USD,New York,Furniture,47048645,86.00,USD 53.32,USD 1.72,USD 84.28,2020-05-28
YR7220,USD,New York,Education,98928833,41.00,USD 30.34,USD 0.82,USD 40.18,2020-05-28
YR7220,USD,New York,Education,73363647,96.00,USD 72.00,USD 9.60,USD 86.40,2020-05-28
YR7220,USD,New York,Electronics,12084655,72.00,USD 48.24,USD 6.48,USD 65.52,2020-05-28
YR7220,USD,New York,Cosmetics,73234558,37.00,USD 25.16,USD 2.59,USD 34.41,2020-05-28
YR7220,USD,New York,Furniture,75547180,70.00,USD 49.70,USD 3.50,USD 66.50,2020-05-28
YR7220,USD,New York,Education,29300231,98.00,USD 58.80,USD 8.82,USD 89.18,2020-05-28
YR7220,USD,New York,Electronics,65744628,27.00,USD 18.36,USD 1.35,USD 25.65,2020-05-28
YR7220,USD,New York,Furniture,78142700,33.00,USD 19.80,USD 2.97,USD 30.03,2020-05-28
YR7220,USD,New York,Fashion,44843139,96.00,USD 61.44,USD 7.68,USD 88.32,2020-05-28
YR7220,USD,New York,Cosmetics,80842590,32.00,USD 23.68,USD 2.56,USD 29.44,2020-05-28
YR7220,USD,New York,Groceries,55436706,60.00,USD 41.40,USD 1.20,USD 58.80,2020-05-28
YR4591,USD,New York,Education,20497436,99.00,USD 69.30,USD 2.97,USD 96.03,2020-05-28
YR4591,USD,New York,Cosmetics,71614074,73.00,USD 48.18,USD 4.38,USD 68.62,2020-05-28
YR4591,USD,New York,Cosmetics,63525390,97.00,USD 71.78,USD 5.82,USD 91.18,2020-05-28
YR4591,USD,New York,Cosmetics,54722595,51.00,USD 33.15,USD 2.04,USD 48.96,2020-05-28
YR4591,USD,New York,Electronics,98110351,91.00,USD 63.70,USD 5.46,USD 85.54,2020-05-28
