STORE_ID,STORE_COUNTRY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,TRANSACTION_DATE
ED6693,GBP,Edinburgh,Kitchen,96319580,62,GBP 31.62,GBP 3.57,GBP 47.43,05/28/2020
ED6693,GBP,Edinburgh,Education,90774230,94,GBP 14.28,GBP 0.42,GBP 20.58,05/28/2020
ED6693,GBP,Edinburgh,Groceries,25853271,90,GBP 14.06,GBP 1.14,GBP 17.86,05/28/2020
ED6693,GBP,Edinburgh,Groceries,88931274,26,GBP 37.50,GBP 4.50,GBP 45.50,05/28/2020
ED6693,GBP,Edinburgh,Education,97646179,97,GBP 26.13,GBP 1.17,GBP 37.83,05/28/2020
ED6693,GBP,Edinburgh,Education,67087707,70,GBP 14.26,GBP 1.38,GBP 21.62,05/28/2020
ED6693,GBP,Edinburgh,Furniture,99063415,95,GBP 51.10,GBP 2.80,GBP 67.20,05/28/2020
ED6693,GBP,Edinburgh,Groceries,86371459,88,GBP 20.40,GBP 0.68,GBP 33.32,05/28/2020
ED6693,GBP,Edinburgh,Groceries,15836486,73,GBP 43.66,GBP 1.77,GBP 57.23,05/28/2020
ED6693,GBP,Edinburgh,Electronics,91576232,49,GBP 48.96,GBP 2.04,GBP 65.96,05/28/2020
ED6693,GBP,Edinburgh,Education,84336242,27,GBP 54.76,GBP 2.22,GBP 71.78,05/28/2020
ED6693,GBP,Edinburgh,Education,70737915,39,GBP 36.40,GBP 1.56,GBP 50.44,05/28/2020
ED6693,GBP,Edinburgh,Groceries,42008666,88,GBP 40.50,GBP 2.16,GBP 51.84,05/28/2020
ED6693,GBP,Edinburgh,Kitchen,58749084,37,GBP 62.79,GBP 3.64,GBP 87.36,05/28/2020
ED6693,GBP,Edinburgh,Groceries,95805969,75,GBP 45.75,GBP 2.44,GBP 58.56,05/28/2020
ED6693,GBP,Edinburgh,Groceries,37301025,13,GBP 51.68,GBP 6.84,GBP 69.16,05/28/2020
ED6693,GBP,Edinburgh,Groceries,26023559,52,GBP 67.50,GBP 8.10,GBP 81.90,05/28/2020
ED6693,GBP,Edinburgh,Education,66291198,52,GBP 13.87,GBP 0.95,GBP 18.05,05/28/2020
ED6693,GBP,Edinburgh,Furniture,33988647,89,GBP 13.68,GBP 1.33,GBP 17.67,05/28/2020
ED6693,GBP,Edinburgh,Furniture,71723937,65,GBP 19.44,GBP 2.16,GBP 24.84,05/28/2020
ED6693,GBP,Edinburgh,Furniture,91219177,24,GBP 58.48,GBP 4.30,GBP 81.70,05/28/2020
ED6693,GBP,Edinburgh,Groceries,89340515,83,GBP 65.25,GBP 4.35,GBP 82.65,05/28/2020
ED6693,GBP,Edinburgh,Kitchen,63714904,82,GBP 40.02,GBP 4.64,GBP 53.36,05/28/2020
ED6693,GBP,Edinburgh,Furniture,31618347,10,GBP 68.00,GBP 2.00,GBP 98.00,05/28/2020
ED6693,GBP,Edinburgh,Groceries,85415649,67,GBP 29.44,GBP 2.30,GBP 43.70,05/28/2020
ED6693,GBP,Edinburgh,Education,38355712,68,GBP 63.51,GBP 7.83,GBP 79.17,05/28/2020
ED6693,GBP,Edinburgh,Education,83259582,47,GBP 37.26,GBP 5.40,GBP 48.60,05/28/2020
ED6693,GBP,Edinburgh,Furniture,53360290,78,GBP 40.88,GBP 1.12,GBP 54.88,05/28/2020
ED6693,GBP,Edinburgh,Fashion,22864990,88,GBP 60.90,GBP 2.61,GBP 84.39,05/28/2020
ED6693,GBP,Edinburgh,Kitchen,39536743,98,GBP 48.75,GBP 1.30,GBP 63.70,05/28/2020
ED6693,GBP,Edinburgh,Education,43151245,18,GBP 11.97,GBP 0.57,GBP 18.43,05/28/2020
ED6693,GBP,Edinburgh,Fashion,85261840,26,GBP 14.08,GBP 1.10,GBP 20.90,05/28/2020
ED6693,GBP,Edinburgh,Fashion,33681030,56,GBP 51.80,GBP 4.20,GBP 65.80,05/28/2020
ED6693,GBP,Edinburgh,Kitchen,96319580,60,GBP 21.60,GBP 2.88,GBP 33.12,05/28/2020
ED6693,GBP,Edinburgh,Education,90774230,78,GBP 7.68,GBP 1.08,GBP 10.92,05/28/2020
